token;Amaia;Mikel;
azenario;ili-30-07730207-n;ili-30-07730207-n;
eta;;;
intxaur;ili-30-07771212-n;ili-30-13136556-n;
tarta;ili-30-07628870-n;ili-30-07628870-n;
fruitu;ili-30-13134947-n;ili-30-13134947-n;
edo;;;
barazkidun;ili-30-07707451-n;ili-30-07707451-n;
bizkotxo;ili-30-07632037-n;ili-30-07628870-n;
,;;;
azken;;;
emaitza;;;
harropuzkeria;;;
berezi;;;
erantsi;;;
*edun;;;
.;;;
zapore;;;
ñabardura;;;
bete;;;
ukan;;;
,;;;
eta;;;
labe;ili-30-03862676-n;ili-30-03862676-n;
atera;;;
izan;;;
usain;;;
harrigarri;;;
izan;;;
.;;;
ehundura;;;
adina;;;
gustu;;;
egon;;;
,;;;
baina;;;
bizkotxo;ili-30-07632037-n;ili-30-07628870-n;
on;;;
bat;;;
hartu;;;
,;;;
azkar;;;
ez;;;
xehatu;;;
bezain;;;
mamitsu;;;
eta;;;
harro;;;
izan;;;
izan;;;
izan;;;
on;;;
.;;;
azenario;ili-30-07730207-n;ili-30-07730207-n;
eta;;;
intxaur;ili-30-07771212-n;ili-30-13136556-n;
bizkotxo;ili-30-07632037-n;ili-30-07628870-n;
hau;;;
jogurt;ili-30-07849336-n;ili-30-07849336-n;
bizkotxo;ili-30-07632037-n;ili-30-07628870-n;
bat;;;
izan;;;
bezala;;;
egin;;;
egon;;;
,;;;
baina;;;
osagai;;;
berezi;;;
hauek;;;
gehitu;;;
.;;;
oso;;;
goxo;;;
izan;;;
,;;;
eta;;;
azkar;;;
egite;;;
gain;;;
,;;;
oso;;;
erraz;;;
ere;;;
izan;;;
.;;;
beharrezko;;;
osagai;;;
:;;;
jogurt;ili-30-07849336-n;ili-30-07849336-n;
natural;-;;
1;;;
(;;;
125;;;
g-ko;;;
);;;
.;;;
3;;;
arrautza;ili-30-07840804-n;ili-30-07840804-n;
.;;;
irin;ili-30-07569106-n;ili-30-07569106-n;
(;;;
3;;;
jogurt;ili-30-07849336-n;ili-30-07849336-n;
neurri;;;
);;;
.;;;
azukre;ili-30-07859284-n;ili-30-07859284-n;
(;;;
2;;;
jogurt;ili-30-07849336-n;ili-30-07849336-n;
neurri;;;
);;;
.;;;
oliba-olio;-;ili-30-07673397-n;
(;;;
jogurt-neurri;-;ili-30-07849336-n;
1;;;
);;;
.;;;
azken;;;
zapore;;;
olio;ili-30-07673397-n;ili-30-07673397-n;
hauteman;;;
gustatu;;;
izan;;;
,;;;
erabili;;;
zapore;;;
handi;;;
bat;;;
,;;;
baina;;;
diskretu;;;
izan;;;
nahi;;;
*edun;;;
,;;;
erabili;;;
zapore;;;
leuneko;;;
olio;ili-30-07673397-n;ili-30-07673397-n;
bat;;;
.;;;
legami;ili-30-14934031-n;ili-30-14934031-n;
hauts;;;
gutunazal;;;
1;;;
(;;;
16;;;
g;;;
);;;
.;;;
molde;ili-30-03779370-n;ili-30-03779370-n;
igurztu;;;
gurin;ili-30-07848338-n;ili-30-07848338-n;
.;;;
200;;;
g;;;
azenario;ili-30-12937678-n;ili-30-07730207-n;
.;;;
30;;;
g;;;
intxaur;ili-30-07771212-n;ili-30-13136556-n;
,;;;
txikitu;;;
.;;;
koilarakada;;;
bat;;;
kanela;ili-30-07814203-n;ili-30-07814203-n;
hauts;;;
.;;;
urratsez-urrats;;;
:;;;
1.!;;;
azenario;ili-30-12937678-n;ili-30-07730207-n;
eta;;;
arralalo;;;
garbitu;;;
.;;;
2.hustu;;;
jogurtatu;ili-30-07849336-n;ili-30-07849336-n;
bol;;ili-30-02881193-n;
txiki;;;
bat;;;
,;;;
ontzi;;ili-30-03133538-n;
hasiera-hasiera;;;
erabili;;;
ahal;;;
izan;;;
.;;;
3.aurrez;;;
berotu;;;
labe;ili-30-03862676-n;ili-30-03862676-n;
180º-;;;
masa;ili-30-07860988-n;ili-30-07860988-n;
egin;;;
gutxi;;;
gorabehera;;;
erabili;;;
*edun;;;
minutu;;;
hauek;;;
.;;;
4.bol;;ili-30-02881193-n;
handi;;;
bat;;;
,;;;
gehitu;;;
azukre;ili-30-07859284-n;ili-30-07859284-n;
eta;;;
arrautu;ili-30-07840804-n;ili-30-07840804-n;
bi;;;
neurri;;;
,;;;
eta;;;
zorrotxo;;;
sendo;;;
,;;;
hobe;;;
hagatxo;;;
edo;;;
koilara;;ili-30-04284002-n;
bat;;;
.;;;
5.gehitu;;;
olio;ili-30-07673397-n;ili-30-07673397-n;
eta;;;
jogurta;ili-30-07849336-n;ili-30-07849336-n;
,;;;
eta;;;
irabiatu;;;
,;;;
nahasketa;;;
homogeneo;;;
geratu;;;
*edin;;;
.;;;
limoi;ili-30-07749582-n;ili-30-07749582-n;
erdi;;;
larruazal;ili-30-07738353-n;;
txikitu;;;
eta;;;
gehitu;;;
*ezan;;;
.;;;
6.orain;;;
,;;;
koladore;ili-30-03066849-n;ili-30-03066849-n;
bat;;;
jarri;;;
bol;ili-30-02881193-n;ili-30-02881193-n;
gain;;;
,;;;
eta;;;
legami;ili-30-14934031-n;ili-30-14934031-n;
eta;;;
irin;ili-30-07569106-n;ili-30-07569106-n;
neurri;;;
gehitu;;;
,;;;
koladore;ili-30-03066849-n;ili-30-03066849-n;
pasatu;;;
*edin;;;
.;;;
prozesu;;;
hau;;;
bahetu;;;
deitu;;;
izan;;;
,;;;
eta;;;
osagai;;;
lehor;;;
hauek;;;
nahasketa;;;
gruma;;;
eta;;;
pilaketa;;;
gabe;;;
gehitu;;;
ahalbidetu;;;
*edun;;;
,;;;
dena;;;
ondo;;;
nahastu;;;
primeran;;;
etorri;;;
.;;;
nahastu;;;
guzti;;;
,;;;
osagai;;;
guzti;;;
ondo;;;
integratu;;;
izan;;;
*edin;;;
.;;;
7.sartu;;;
azenario;ili-30-12937678-n;ili-30-07730207-n;
birrindu;;;
,;;;
intxaur;ili-30-07771212-n;ili-30-13136556-n;
eta;;;
kanela;ili-30-07814203-n;ili-30-07814203-n;
hauts;;;
koilarakada;;;
,;;;
eta;;;
nahastu;;;
izan;;;
.;;;
8.molde;-;ili-30-03779370-n;
labe-papr;-;;
egin;;;
edo;;;
gurin;ili-30-07848338-n;ili-30-07848338-n;
pixka;;;
bat;;;
batu;;;
,;;;
oinarri;;;
eta;;;
horma;;;
busti;;;
,;;;
eta;;;
ore;ili-30-07860988-n;;
molde;;;
isuri;;;
.;;;
9.jar;;;
erretilu;ili-30-03963198-;;
labe;ili-30-03862676-n;ili-30-03862676-n;
,;;;
bat;;;
beste;;;
altuera;;;
,;;;
eta;;;
eduki;;;
180;;;
gradu;;;
tenperatura;;;
hori;;;
30-35;;;
minutu;;;
.;;;
denbora;;;
hori;;;
,;;;
horm;;;
ozta-ozta;;;
urreztatu;;;
izan;;;
,;;;
eta;;;
barrualde;;;
mamitsu;;;
izan;;;
izan;;;
egun;;;
batzuk;;;
gero;;;
ere;;;
.;;;
10.egin;;;
*ezan;;;
zotza;ili-30-04453390-n;;
proba;;;
:;;;
zotz;ili-30-04453390-n;;
bat;;;
klikatu;;;
bizkotxo;ili-30-07632037-n;ili-30-07628870-n;
,;;;
eta;;;
hondar;;;
itsatsi;;;
gabe;;;
atera;;;
izan;;;
,;;;
prest;;;
egon;;;
.;;;
itzal;;;
labe;;ili-30-03862676-n;
,;;;
ate;;;
bizkotxo;ili-30-07632037-n;ili-30-07628870-n;
eta;;;
utzi;;;
oct-15;;;
minutu;;;
atseizan;;;
hartu;;;
,;;;
desmoldatu;;;
baino;;;
lehen;;;
.;;;
11.!;;;
plater;ili-30-03206908-n;;
jarri;;;
eta;;;
gozatu;;;
!;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
